Jambon,B-PER
ontkent,O
verhoging,O
laagste,O
werkloosheidsuitkeringen,O

Vicepremier,O
Jan,B-PER
Jambon,I-PER
(,O
N-VA,B-ORG
),O
heeft,O
zaterdag,O
in,O
een,O
interview,O
met,O
La,B-ORG
Libre,I-ORG
Belgique,I-ORG
ontkend,O
dat,O
de,O
laagste,O
werkloosheidsuitkeringen,O
zouden,O
worden,O
verhoogd,O
.,O

',O
Dat,O
is,O
niet,O
zo,O
beslist,O
',O
",",O
aldus,O
Jambon,B-PER
:,O
',O
Aan,O
de,O
minimumuitkeringen,O
wordt,O
niet,O
geraakt,O
:,O
noch,O
naar,O
boven,O
toe,O
",",O
noch,O
naar,O
beneden,O
toe,O
.,O
',O

',O
Enige,O
oplossing,O
ligt,O
bij,O
politieplan,O
',O

De,O
Brusselse,B-LOC
politici,O
dagen,O
de,O
federale,O
regering,O
uit,O
.,O

De,O
politiediensten,O
kregen,O
tot,O
vanochtend,O
de,O
tijd,O
om,O
een,O
oplossing,O
te,O
vinden,O
voor,O
de,O
trans­migranten,O
aan,O
het,O
Noordstation,B-LOC
.,O

Merkel,B-PER
begint,O
aan,O
regeringsvorming,O

De,O
christendemocratische,O
Duitse,B-LOC
bondskanselier,O
Angela,B-PER
Merkel,I-PER
heeft,O
zaterdag,O
voor,O
het,O
eerst,O
officieel,O
aangekondigd,O
coalitiegesprekken,O
met,O
de,O
liberale,O
FDP,B-ORG
en,O
de,O
Groenen,B-LOC
aan,O
te,O
gaan,O
.,O

Kim,B-PER
Jong-un,I-PER
geeft,O
zus,O
topfunctie,O
in,O
Noord-Korea,B-LOC
",",O
twee,O
jaar,O
nadat,O
hij,O
haar,O
op,O
staande,O
voet,O
ontsloeg,O

Kim,B-PER
Jong-un,I-PER
",",O
de,O
leider,O
van,O
Noord-Korea,B-LOC
",",O
heeft,O
zijn,O
zus,O
gepromoveerd,O
.,O

Kim,B-PER
Yo-jong,I-PER
is,O
voortaan,O
plaatsvervangend,O
lid,O
van,O
het,O
politburo,O
",",O
het,O
politieke,O
orgaan,O
dat,O
de,O
belangrijke,O
beslissingen,O
van,O
het,O
Aziatische,B-LOC
land,O
neemt,O
.,O

Dat,O
meldt,O
de,O
officiële,O
Noord-Koreaanse,B-LOC
pers,O
.,O

Een,O
opmerkelijke,O
beslissing,O
",",O
want,O
twee,O
jaar,O
geleden,O
leek,O
die,O
nog,O
helemaal,O
uit,O
de,O
gratie,O
gevallen,O
.,O

Politie,O
bestormt,O
vluchtelingenkamp,O
op,O
eiland,O
Manus,B-PER
:,O
We,O
zijn,O
bang,O

De,O
politie,O
van,O
Papoea-Nieuw-Guinea,B-MISC
en,O
immigratieautoriteiten,O
zijn,O
donderdag,O
het,O
door,O
Australië,B-LOC
beheerde,O
",",O
inmiddels,O
gesloten,O
detentiecentrum,O
op,O
het,O
eiland,O
Manus,B-LOC
binnengedrongen,O
.,O

Ze,O
eisten,O
dat,O
de,O
vierhonderd,O
mannen,O
die,O
er,O
op,O
31,O
oktober,O
weigerden,O
te,O
vertrekken,O
alsnog,O
de,O
gebouwen,O
zouden,O
verlaten,O
.,O

VN,B-ORG
:,O
IS,O
executeerde,O
741,O
burgers,O
tijdens,O
beleg,O
van,O
Mosoel,B-LOC

Leden,O
van,O
de,O
terreurorganisatie,O
Islamitische,B-ORG
Staat,I-ORG
(,O
IS,O
),O
hebben,O
741,O
burgers,O
standrechtelijk,O
geëxecuteerd,O
tijdens,O
de,O
belegering,O
van,O
Mosoel,B-LOC
",",O
de,O
op,O
een,O
na,O
grootste,O
stad,O
van,O
het,O
land,O
die,O
in,O
juli,O
na,O
negen,O
maanden,O
durende,O
gevechten,O
door,O
het,O
Iraakse,B-LOC
leger,O
werd,O
bevrijd,O
.,O

Dertien,O
drugsdealers,O
opgepakt,O

Politie,O
pakt,O
zeven,O
sans-papiers,O
op,O
in,O
kunstencentrum,O

Tijdens,O
een,O
politieactie,O
bij,O
een,O
artistieke,O
Brusselse,B-LOC
organisatie,O
werden,O
zeven,O
mensen,O
zonder,O
papieren,O
gearresteerd,O
.,O

Een,O
van,O
hen,O
nam,O
die,O
avond,O
deel,O
aan,O
een,O
tentoonstelling,O
.,O

Belastingvrij,O
erven,O
van,O
partner,O
is,O
inzet,O
van,O
de,O
discussie,O

Brussel,B-LOC

Na,O
de,O
hervorming,O
van,O
de,O
registratierechten,O
(,O
grondbelasting,O
),O
wil,O
de,O
Vlaamse,B-LOC
